intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,match_filename,match_name,match_md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
360000,0.0002560109231327203,0.11076923076923077,0.0002560109231327203,0.00005965101175572314,1.1111111111111112,1.0,0.3142696805273544,/dev/fd/63,"GCF_004331285.1 Acinetobacter sp. ANC 3781 strain=ANC 3781, ASM433128v1",5280551bc9b797bfe8a598f0e1a0074c,0.11076923076923077,360000,1,1405180000,,SRR27437571,2a1db8599f3a5787cda973ae10f3dfa9,1406190000,51,DNA,10000,140619,true,0.8503029699564034,0.9577741698134843,0.9040385698849438,0.9577741698134843,40,123,670567
50000,0.00003555707265732227,0.015873015873015872,7.111414531464453e-6,1.4912752938930786e-6,1.0,1.0,0.0,/dev/fd/63,"GCF_000309465.1 Poinsettia branch-inducing phytoplasma str. JR1 strain=JR1, ASM30946v1",d095cc5696031c3b4fa3f72e3781635e,0.07936507936507936,10000,81,1402190000,,SRR27437571,2a1db8599f3a5787cda973ae10f3dfa9,1406190000,51,DNA,10000,140619,true,0.81801874347248,0.9515335529178865,0.8847761481951832,0.9515335529178865,1,12849,670567
10000,7.111414531464453e-6,0.0021008403361344537,7.111414531464453e-6,1.4912752938930786e-6,1.0,1.0,0.0,/dev/fd/63,"GCF_000383415.1 Hyphomicrobium zavarzinii ATCC 27496 strain=ZV-622, ASM38341v1",d4af290b7092264494eea24e27979ad1,0.0021008403361344537,10000,82,1402180000,,SRR27437571,2a1db8599f3a5787cda973ae10f3dfa9,1406190000,51,DNA,10000,140619,true,0.7926071042944953,0.886130944718483,0.8393690245064891,0.886130944718483,1,12850,670567
10000,7.111414531464453e-6,0.0027624309392265192,7.111414531464453e-6,2.982550587786157e-6,2.0,2.0,0.0,/dev/fd/63,"GCF_000686685.1 Curtobacterium sp. UNCCL17 strain=UNCCL17, ASM68668v1",8af4af6e0d0560a01542775d67c272c6,0.0027624309392265192,10000,83,1402170000,,SRR27437571,2a1db8599f3a5787cda973ae10f3dfa9,1406190000,51,DNA,10000,140619,true,0.7926071042944953,0.8909005841896418,0.8417538442420686,0.8909005841896418,2,12852,670567
20000,0.000014222829062928906,0.0014749262536873156,7.111414531464453e-6,1.4912752938930786e-6,1.0,1.0,0.0,/dev/fd/63,"GCF_000696675.2 Rhodococcus erythropolis R138 strain=R138, ASM69667v2",c4744c94e7aefeed9733c5acf368b0ca,0.0029498525073746312,10000,84,1402160000,,SRR27437571,2a1db8599f3a5787cda973ae10f3dfa9,1406190000,51,DNA,10000,140619,true,0.8034530609047136,0.8920480356530043,0.847750548278859,0.8920480356530043,1,12853,670567
10000,7.111414531464453e-6,0.0012300123001230013,7.111414531464453e-6,1.4912752938930786e-6,1.0,1.0,0.0,/dev/fd/63,"GCF_000721605.1 Streptomyces sp. NRRL S-37 strain=NRRL S-37, ASM72160v1",d0e18d160c64ca971d71e3dbb9f22378,0.0012300123001230013,10000,85,1402150000,,SRR27437571,2a1db8599f3a5787cda973ae10f3dfa9,1406190000,51,DNA,10000,140619,true,0.7926071042944953,0.8768784580725295,0.8347427811835124,0.8768784580725295,1,12854,670567
10000,7.111414531464453e-6,0.001763668430335097,7.111414531464453e-6,4.473825881679235e-6,3.0,3.0,0.0,/dev/fd/63,"GCF_000736345.1 Vibrio parahaemolyticus strain=NCKU_TN_S02, ASM73634v1",a2b3097da87e616d89fdc6e1359de34b,0.001763668430335097,10000,86,1402140000,,SRR27437571,2a1db8599f3a5787cda973ae10f3dfa9,1406190000,51,DNA,10000,140619,true,0.7926071042944953,0.8830965239892896,0.8378518141418925,0.8830965239892896,3,12857,670567
10000,7.111414531464453e-6,0.0013227513227513227,7.111414531464453e-6,1.4912752938930786e-6,1.0,1.0,0.0,/dev/fd/63,"GCF_000797385.1 Streptomyces sp. CNQ431 strain=CNQ431, ASM79738v1",03fd18223d03dc2844a245b6e797ba6d,0.0013227513227513227,10000,87,1402130000,,SRR27437571,2a1db8599f3a5787cda973ae10f3dfa9,1406190000,51,DNA,10000,140619,true,0.7926071042944953,0.8781291542863089,0.835368129290402,0.8781291542863089,1,12858,670567
90000,0.00006400273078318008,0.13043478260869565,0.00006400273078318008,0.000034299331759540804,2.5555555555555554,3.0,1.1653431646335017,/dev/fd/63,"GCF_005081445.1 Buchnera aphidicola (Hyadaphis tataricae) strain=Hta, ASM508144v1",a86bb39917bf40b8db5c79a4f20ccc3c,0.13043478260869565,90000,9,1403740000,,SRR27437571,2a1db8599f3a5787cda973ae10f3dfa9,1406190000,51,DNA,10000,140619,true,0.8275011349940863,0.9608481823472241,0.8941746586706552,0.9608481823472241,23,10195,670567
160000,0.00011378263250343125,0.014492753623188406,7.111414531464453e-6,0.00033702821641983573,226.0,226.0,0.0,/dev/fd/63,"GCF_013391955.1 Candidatus Phytoplasma pruni strain=ChTDIII, ASM1339195v1",17b0cb043681a59b63a6131a9f6429ee,0.2318840579710145,10000,108,1401920000,,SRR27437571,2a1db8599f3a5787cda973ae10f3dfa9,1406190000,51,DNA,10000,140619,true,0.8368895720445684,0.9717495120174263,0.9043195420309973,0.9717495120174263,226,13122,670567
