query_name,containment,max_containment_ani,match_name
"GCF_013394915.1 Buchnera aphidicola (Aphis gossypii) strain=PASI, ASM1339491v1",1.0,1.0,SRR12060204
"GCA_011754225.1 Buchnera aphidicola (Periphyllus lyropictus), QMUL_BucPlyr",0.6905829596412556,0.982525005924151,SRR23060064
"GCF_024029895.1 Buchnera aphidicola (Periphyllus lyropictus) strain=Pl-LLN, ASM2402989v1",0.4352678571428571,0.961164967354755,SRR11434957
"GCF_005081445.1 Buchnera aphidicola (Hyadaphis tataricae) strain=Hta, ASM508144v1",0.382660687593423,0.9552872750420802,SRR27437571
"GCF_024029895.1 Buchnera aphidicola (Periphyllus lyropictus) strain=Pl-LLN, ASM2402989v1",0.3526785714285714,0.951582885502474,SRR15070562
"GCF_024029895.1 Buchnera aphidicola (Periphyllus lyropictus) strain=Pl-LLN, ASM2402989v1",0.3504464285714285,0.9512952234485114,SRR10568415
"GCF_024029895.1 Buchnera aphidicola (Periphyllus lyropictus) strain=Pl-LLN, ASM2402989v1",0.3459821428571428,0.9507146264266816,SRR13648750
"GCA_011754225.1 Buchnera aphidicola (Periphyllus lyropictus), QMUL_BucPlyr",0.3408071748878923,0.9500326059603263,DRR248858
"GCA_011754225.1 Buchnera aphidicola (Periphyllus lyropictus), QMUL_BucPlyr",0.3385650224215246,0.9497340402636172,SRR8945310
"GCF_024029895.1 Buchnera aphidicola (Periphyllus lyropictus) strain=Pl-LLN, ASM2402989v1",0.3370535714285714,0.9495317105616764,SRR15070654
"GCF_024029895.1 Buchnera aphidicola (Periphyllus lyropictus) strain=Pl-LLN, ASM2402989v1",0.3236607142857143,0.9477001553610468,SRR28800698
"GCF_024029895.1 Buchnera aphidicola (Periphyllus lyropictus) strain=Pl-LLN, ASM2402989v1",0.3214285714285714,0.9473878970650096,SRR1660457
"GCF_024029895.1 Buchnera aphidicola (Periphyllus lyropictus) strain=Pl-LLN, ASM2402989v1",0.3191964285714285,0.947073566699488,SRR11434960
"GCF_024029895.1 Buchnera aphidicola (Periphyllus lyropictus) strain=Pl-LLN, ASM2402989v1",0.3080357142857143,0.9454698192796804,SRR15070656
"GCF_024029895.1 Buchnera aphidicola (Periphyllus lyropictus) strain=Pl-LLN, ASM2402989v1",0.3080357142857143,0.9454698192796804,SRR15074770
"GCF_024029895.1 Buchnera aphidicola (Periphyllus lyropictus) strain=Pl-LLN, ASM2402989v1",0.3080357142857143,0.9454698192796804,SRR19749277
